id,title,labels,milestone,problem,proposal,acceptance,dependencies
1,Create initial repository skeleton and module layout,"area/build,type/task,priority/p0",M1 Core prototype,"The project needs a KMP repository layout that can support a small stable core plus optional provider, storage, testkit, and Meeseeks modules.","Create Gradle/KMP skeleton with core, testkit, provider-openai-compatible placeholder, samples, docs, and CI-ready build structure.",Repository builds with `./gradlew build`. | `inferencestore-core` compiles for common/JVM/Android/iOS targets. | `inferencestore-testkit` module exists. | Placeholder provider module exists but does not affect core dependencies. | README includes current module map.,
2,Define core request and key model,"area/core,type/feature,priority/p0",M1 Core prototype,"Inference requests need a stable shape that captures key, input, output type, privacy, cache, policy, timeout, prompt version, and metadata.","Implement `InferenceRequest`, `InferenceKey`, `InferenceInput`, `OutputSpec`, `PromptSpec`, and basic convenience builders.",Text and message inputs are supported. | Text output spec is supported. | JSON/typed output spec API is sketched or implemented behind serialization. | Request has privacy and cache defaults. | Unit tests cover request creation and equality/fingerprint-relevant fields.,1
3,Define provider contract and provider metadata,"area/provider,type/feature,priority/p0",M1 Core prototype,"Provider adapters need a common contract for availability, capabilities, streaming execution, and metadata.","Implement `InferenceProvider`, `ProviderId`, `ProviderKind`, `ProviderAvailability`, `Capability`, `CapabilityReport`, `ProviderMetadata`, `ProviderEvent`, and `ProviderError`.",Providers can report availability without executing inference. | Providers can report capability support for a request. | Provider events support started/token/completed/failed. | Provider errors map to stable categories. | No provider-specific dependencies enter core.,"1,2"
4,Implement streaming-first InferenceStore API,"area/core,type/feature,priority/p0",M1 Core prototype,Feature code needs a single API for streaming and non-streaming inference.,"Implement `InferenceStore.stream(request)` and `InferenceStore.generate(request)` in core, backed by a simple execution controller.","`stream` returns a cold Flow. | `generate` collects stream and returns final result. | Cancellation of collection cancels provider execution where possible. | Event sequence includes Started, ProviderSelected, Token, Done/Failed. | Unit tests cover success, failure, and cancellation.","2,3"
5,Implement route trace and event model,"area/observability,type/feature,priority/p0",M1 Core prototype,Users need to know which provider served an inference request and why fallback occurred.,"Add `InferenceEvent`, `InferenceResult`, `RouteTrace`, `ProviderAttemptTrace`, and route metadata to all results.",Every result includes a `RouteTrace`. | Every provider attempt is captured with provider ID/kind/model metadata when available. | Fallback reason can be represented. | Failed requests include trace information. | Tests assert trace content.,4
6,Implement built-in local/cloud policy presets,"area/policy,type/feature,priority/p0",M1 Core prototype,The MVP needs simple but useful policies that prove the local/cloud routing model.,"Implement `localOnly`, `cloudOnly`, `preferLocalThenCloud`, `preferCloudThenLocal`, and `validateLocalRepairWithCloud`.","Policies choose providers based on kind, availability, and capabilities. | Policy results are deterministic. | Privacy guardrails cannot be bypassed by policy. | Tests cover all built-ins. | Docs show when to use each policy.","3,4,5"
7,Add privacy policy model and enforcement,"area/security,type/feature,priority/p0",M1 Core prototype,Cloud fallback must not happen accidentally for sensitive/local-only requests.,"Implement `PrivacyPolicy`, privacy classifications, cloud permission, persistence permission, telemetry permission, and enforcement in execution controller.",`LocalOnly` requests never invoke cloud providers. | Sensitive/default profiles are documented. | Execution controller enforces privacy independent of policy. | Tests prove denied providers were not invoked. | Monitor events are redacted by default.,"4,6"
8,Implement output validators and validation-triggered fallback,"area/validation,type/feature,priority/p0",M1 Core prototype,Local model output may be malformed or inadequate; validation should be able to trigger fallback or repair.,"Implement `OutputValidator`, `ValidationResult`, predicate validator helpers, and execution logic for fallback on validation failure.",Predicate validators can pass/fail final output. | Validation result is included in route trace. | Policy can fall back on validation failure. | Schema/JSON validation has either initial implementation or RFC stub. | Tests cover local invalid -> cloud repair.,"4,5,6"
9,Create testkit fake provider and route assertions,"area/testkit,type/feature,priority/p0",M1 Core prototype,Developers need deterministic tests without real models or cloud calls.,"Implement `FakeInferenceProvider`, scripted responses, failure injection, streaming scripts, and route assertion helpers.",Fake provider can stream tokens. | Fake provider can be unavailable. | Fake provider can fail with stable error categories. | Assertions support attempted/fellBackTo/completedWith/didNotAttempt. | Examples in docs compile.,"3,5"
10,Add request fingerprinting,"area/cache,type/feature,priority/p1",M2 Alpha,"Caching and dedupe require a stable fingerprint that accounts for input, prompt, output, privacy, and policy-relevant fields.",Implement `InferenceFingerprint` and default fingerprinting strategy with extension hooks.,"Fingerprint includes key, input hash, prompt version, output version, privacy class, and policy version if present. | Raw input is not stored in the fingerprint. | Tests cover prompt/input/privacy changes. | Docs warn about user/account scoping.","2,7"
11,Implement request deduplication,"area/core,area/cache,type/feature,priority/p1",M2 Alpha,Equivalent concurrent requests should not cause duplicate provider invocations when policy allows sharing.,Add in-flight request coalescing keyed by fingerprint and compatible policy/cache settings.,"Concurrent equivalent requests share one provider call. | Requests with dedupe disabled do not share. | Privacy settings can prevent dedupe. | Cancellation of one collector does not cancel shared work while another collector remains. | Tests cover success, failure, and cancellation.",10
12,Define cache and artifact store interfaces,"area/cache,type/feature,priority/p1",M2 Alpha,The core needs cache/source-of-truth-like hooks without overcommitting to a persistent implementation.,"Add `InferenceCache`, `InferenceArtifactStore`, `InferenceArtifact`, `CachePolicy`, and `CacheOutcome` interfaces/types.",Core can read before provider execution when cache policy allows. | Core can write successful results when cache policy allows. | Artifact includes provider/model/trace/validation metadata. | Privacy policy can disable prompt/output persistence. | Docs explain why this is not exactly Store SourceOfTruth.,10
13,Implement in-memory cache,"area/cache,type/feature,priority/p1",M2 Alpha,"A small in-memory cache is needed for demos, tests, and repeated UI calls.",Implement `MemoryInferenceCache` with TTL and clear APIs.,Cache hit returns artifact without provider call. | Expired artifact triggers provider call. | Clear by key works. | Clear all works. | Tests cover privacy no-write behavior.,12
14,Implement monitor hooks,"area/observability,type/feature,priority/p1",M2 Alpha,"Apps need route, latency, fallback, and validation telemetry.","Add `InferenceMonitor`, `MonitorEvent`, redaction defaults, and execution controller callbacks.",Monitor receives request started/completed/failed. | Monitor receives route selected/provider attempt/fallback/validation events. | Monitor events contain no raw prompt/output by default. | Tests cover event order and redaction. | Docs include monitor example.,"5,7,8"
15,Build OpenAI-compatible provider adapter,"area/provider,type/feature,priority/p1",M2 Alpha,The MVP needs a real cloud/remote provider adapter that works with many OpenAI-compatible endpoints.,"Implement `inferencestore-provider-openai-compatible` using configurable base URL, API key provider, model name, and streaming support.","Adapter supports text/chat request mapping. | Adapter supports streaming where endpoint supports it. | Adapter maps rate limit, timeout, network, and server errors. | Adapter redacts secrets and prompts by default. | Mock-server tests cover success, streaming, and error mapping.","3,4,14"
